2022-05-20 11:09:34 INFO  ********* Starting Test Execution. ***********
2022-05-20 11:09:36 INFO  ****************************
2022-05-20 11:09:36 INFO  Scenario : ExpertPortal Dashboard
2022-05-20 11:09:36 INFO  Scenario start time: 2022-05-20 11:09:36
2022-05-20 11:09:36 INFO  Launching web application URL: https://expert.parodev.io/dashboards
2022-05-20 11:09:44 INFO  Writing 'annonbill@gmail.com' into web-element: [[ChromeDriver: chrome on WINDOWS (49daf17313ca828e58a4ada1613996a3)] -> xpath: //input[@name='username']]
2022-05-20 11:09:44 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on WINDOWS (49daf17313ca828e58a4ada1613996a3)] -> xpath: //input[@name='username']]
2022-05-20 11:09:45 INFO  Writing 'Password1!' into web-element: [[ChromeDriver: chrome on WINDOWS (49daf17313ca828e58a4ada1613996a3)] -> xpath: //input[@name='password']]
2022-05-20 11:09:45 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on WINDOWS (49daf17313ca828e58a4ada1613996a3)] -> xpath: //input[@name='password']]
2022-05-20 11:09:46 INFO  Clicking on web-element: [[ChromeDriver: chrome on WINDOWS (49daf17313ca828e58a4ada1613996a3)] -> xpath: //button[@type='submit']]
2022-05-20 11:09:46 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on WINDOWS (49daf17313ca828e58a4ada1613996a3)] -> xpath: //button[@type='submit']]
2022-05-20 11:09:46 INFO  Waiting for the element to be clickable : [[ChromeDriver: chrome on WINDOWS (49daf17313ca828e58a4ada1613996a3)] -> xpath: //button[@type='submit']]
2022-05-20 11:09:51 INFO  Clicked on web-element: [[ChromeDriver: chrome on WINDOWS (49daf17313ca828e58a4ada1613996a3)] -> xpath: //button[@type='submit']]
2022-05-20 11:09:53 INFO  Finding the element by By.xpath: (//span[text()='Dashboard'])[2]
2022-05-20 11:09:53 INFO  Finding the element by By.xpath: //div[text()='Snapshot Metrics']
2022-05-20 11:09:54 INFO  Clicking on web-element: [[ChromeDriver: chrome on WINDOWS (49daf17313ca828e58a4ada1613996a3)] -> xpath: //a[@href='https://paro.io/refer-business/']]
2022-05-20 11:09:54 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on WINDOWS (49daf17313ca828e58a4ada1613996a3)] -> xpath: //a[@href='https://paro.io/refer-business/']]
2022-05-20 11:09:54 INFO  Waiting for the element to be clickable : [[ChromeDriver: chrome on WINDOWS (49daf17313ca828e58a4ada1613996a3)] -> xpath: //a[@href='https://paro.io/refer-business/']]
2022-05-20 11:09:54 INFO  Clicked on web-element: [[ChromeDriver: chrome on WINDOWS (49daf17313ca828e58a4ada1613996a3)] -> xpath: //a[@href='https://paro.io/refer-business/']]
2022-05-20 11:09:56 INFO  ****************************
2022-05-20 11:09:56 INFO  Scenario : ChecktheLinkandlabelonExpertDashboard
2022-05-20 11:09:56 INFO  Scenario start time: 2022-05-20 11:09:56
2022-05-20 11:09:56 INFO  Launching web application URL: https://expert.parodev.io/dashboards
2022-05-20 11:09:58 INFO  Writing 'annonbill@gmail.com' into web-element: [[ChromeDriver: chrome on WINDOWS (d152b8b782f58d027e42ba37dc1581f5)] -> xpath: //input[@name='username']]
2022-05-20 11:09:58 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on WINDOWS (d152b8b782f58d027e42ba37dc1581f5)] -> xpath: //input[@name='username']]
2022-05-20 11:09:59 INFO  Writing 'Password1!' into web-element: [[ChromeDriver: chrome on WINDOWS (d152b8b782f58d027e42ba37dc1581f5)] -> xpath: //input[@name='password']]
2022-05-20 11:09:59 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on WINDOWS (d152b8b782f58d027e42ba37dc1581f5)] -> xpath: //input[@name='password']]
2022-05-20 11:10:00 INFO  Clicking on web-element: [[ChromeDriver: chrome on WINDOWS (d152b8b782f58d027e42ba37dc1581f5)] -> xpath: //button[@type='submit']]
2022-05-20 11:10:00 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on WINDOWS (d152b8b782f58d027e42ba37dc1581f5)] -> xpath: //button[@type='submit']]
2022-05-20 11:10:00 INFO  Waiting for the element to be clickable : [[ChromeDriver: chrome on WINDOWS (d152b8b782f58d027e42ba37dc1581f5)] -> xpath: //button[@type='submit']]
2022-05-20 11:10:03 INFO  Clicked on web-element: [[ChromeDriver: chrome on WINDOWS (d152b8b782f58d027e42ba37dc1581f5)] -> xpath: //button[@type='submit']]
2022-05-20 11:10:04 INFO  Finding the element by By.xpath: //span[text()='Monthly Hours Logged']
2022-05-20 11:10:06 INFO  Finding the element by By.xpath: (//div[@class='pt-4 px-3 text-center'])[1]
2022-05-20 11:10:06 INFO  Finding the element by By.xpath: (//div[@class='pt-4 px-3 text-center'])[1]
2022-05-20 11:10:06 INFO  Finding the element by By.xpath: //*[text()='Log time']
2022-05-20 11:10:06 INFO  Finding the element by By.xpath: //*[text()='Update availability']
2022-05-20 11:10:06 INFO  Finding the element by By.xpath: //*[text()='Win Rate']
2022-05-20 11:10:06 INFO  Finding the element by By.xpath: //span[text()='Earnings Realized']
2022-05-20 11:10:06 INFO  Finding the element by By.xpath: //span[text()='Suggested Hourly Rate']
2022-05-20 11:10:06 INFO  Clicking on web-element: [[ChromeDriver: chrome on WINDOWS (d152b8b782f58d027e42ba37dc1581f5)] -> xpath: //a[text()='Search for opportunities']]
2022-05-20 11:10:06 INFO  Waiting for the element to be visible : [[ChromeDriver: chrome on WINDOWS (d152b8b782f58d027e42ba37dc1581f5)] -> xpath: //a[text()='Search for opportunities']]
2022-05-20 11:10:06 INFO  Waiting for the element to be clickable : [[ChromeDriver: chrome on WINDOWS (d152b8b782f58d027e42ba37dc1581f5)] -> xpath: //a[text()='Search for opportunities']]
2022-05-20 11:10:06 INFO  Clicked on web-element: [[ChromeDriver: chrome on WINDOWS (d152b8b782f58d027e42ba37dc1581f5)] -> xpath: //a[text()='Search for opportunities']]
2022-05-20 11:10:27 INFO  Clicking on web-element: Proxy element for: DefaultElementLocator 'By.xpath: //div[text()='Submit']'
2022-05-20 11:10:47 INFO  Waiting for the element to be visible : Proxy element for: DefaultElementLocator 'By.xpath: //div[text()='Submit']'
